Timestamp,Age,Gender,Height,Weight,Menu Preferences (iCanteen) [ก๋วยเตี๋ยวไก่],Menu Preferences (iCanteen) [เกี๋ยวน้ำหมูแดง],Menu Preferences (iCanteen) [ข้าวเหนียวไก่ทอด],Menu Preferences (iCanteen) [ไก่ทอดน้ำตก],Menu Preferences (iCanteen) [ข้าวแกงกะหรี่หมูทอด],Menu Preferences (iCanteen) [ข้าวเหนียวคอหมูย่าง],Menu Preferences (iCanteen) [เส้นเล็กต้มยำ],Menu Preferences (iCanteen) [มาม่าน้ำตกหมู],Menu Preferences (iCanteen) [ต้มเลือดหมู],Menu Preferences (iCanteen) [โจ๊กหมู],Menu Preferences (iCanteen) [สุกี้หมู],Menu Preferences (iCanteen) [ข้าวไข่ข้น],Menu Preferences (iCanteen) [ข้าวกะเพราหมู],Menu Preferences (iCanteen) [ข้าวไก่บาร์บีคิว],Menu Preferences (iCanteen) [บะหมี่น้ำหมูแดง],Menu Preferences (iCanteen) [ข้าวมันไก่],Menu Preferences (iCanteen) [ข้าวมันไก่ทอด],Menu Preferences (iCanteen) [ข้าวเหนียวหมูน้ำตก],Menu Preferences (iCanteen) [คั่วไก่],Menu Preferences (iCanteen) [ผัดซีอิ้วหมู],Food Preferences (choose what you like)
22/02/2023 21:27:59,20,Male,180,64,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,4 - Like,3 - Neutral,5 - Strongly Like,2 - Dislike,2 - Dislike,,,,5 - Strongly Like,5 - Strongly Like,,,,,,5 - Strongly Like,"Spicy, Salty, Fried"
22/02/2023 22:04:30,22,Male,175,75,2 - Dislike,3 - Neutral,4 - Like,3 - Neutral,5 - Strongly Like,2 - Dislike,3 - Neutral,4 - Like,2 - Dislike,2 - Dislike,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,1 - Strongly Dislike,3 - Neutral,4 - Like,3 - Neutral,2 - Dislike,2 - Dislike,"Spicy, Pork"
22/02/2023 22:25:04,21,Male,175,71,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,3 - Neutral,5 - Strongly Like,4 - Like,"Spicy, Fried, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 22:57:12,21,Female,150,37,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,2 - Dislike,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,2 - Dislike,"Spicy, Salty, Fried, Vegetable, Chicken, Pork, Cheap (Price)"
23/02/2023 00:09:37,20,Male,169,57,4 - Like,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,"Spicy, Sweet, Salty, Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
23/02/2023 02:03:28,20,Male,185,54,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,1 - Strongly Dislike,3 - Neutral,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,5 - Strongly Like,4 - Like,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,"Spicy, Sweet, Salty, Fried, Soup (Contain water), Chicken, Pork"
23/02/2023 10:43:36,22,Female,158,51,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,5 - Strongly Like,2 - Dislike,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,2 - Dislike,"Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork"
23/02/2023 10:45:22,21,Female,156,41,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,5 - Strongly Like,4 - Like,"Salty, Vegetable, Chicken, Pork"
23/02/2023 10:47:50,23,Female,163,63,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,"Spicy, Salty, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
23/02/2023 10:50:07,21,Male,171,58,4 - Like,4 - Like,5 - Strongly Like,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,"Spicy, Sweet, Salty, Fried, Pork"
23/02/2023 11:06:36,22,Male,178,63,3 - Neutral,3 - Neutral,4 - Like,4 - Like,3 - Neutral,5 - Strongly Like,3 - Neutral,3 - Neutral,4 - Like,4 - Like,3 - Neutral,2 - Dislike,4 - Like,2 - Dislike,2 - Dislike,5 - Strongly Like,1 - Strongly Dislike,4 - Like,4 - Like,4 - Like,"Salty, Cheap (Price)"
23/02/2023 11:50:21,21,Female,154,47,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,1 - Strongly Dislike,4 - Like,5 - Strongly Like,3 - Neutral,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,4 - Like,5 - Strongly Like,"Steam, Vegetable, Soup (Contain water), Pork, Cheap (Price)"
23/02/2023 12:10:01,20,Female,165,56,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,1 - Strongly Dislike,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,2 - Dislike,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,"Spicy, Vegetable, Cheap (Price)"
23/02/2023 12:16:29,22,Female,153,50,3 - Neutral,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,"Sweet, Salty"
23/02/2023 12:17:39,21,Male,170,70,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,4 - Like,"Spicy, Fried, Pork, Cheap (Price)"
27/02/2023 23:25:23,23,Male,177,51,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,"Spicy, Salty, Fried"
